시설년도,위치코드,시설구분1,시설구분2,쉼터명칭,도로명주소,지번주소,기본운영_요일,기본운영_시작시간,기본운영_종료시간,피크시간_개방,주말_개방,연장운영,추가운영,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
2026,1154567000,공공시설,공공청사,시흥4동주민센터,서울특별시 금천구 독산로36길 14 (시흥4동주민센터),서울특별시 금천구 시흥동 812-38,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.906146,37.458938,191696.37499063,539950.92593374
2026,1154570000,공공시설,복지·문화·체육시설,새재미마을활력소,서울특별시 금천구 독산로50길 105,서울특별시 금천구 시흥동 3-83,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9101755,37.4623248,192053.23887799,540326.46689335
2026,1154571000,공공시설,공공청사,금천정원지원센터,서울특별시 금천구 시흥대로40길 120,서울특별시 금천구 시흥동 산 77-13,"화,수,목,금,토",09:00,18:00,True,True,False,True,126.909782,37.446302,192016.72313984,538548.19027485
2026,1154571000,특정계층이용시설,회원이용시설,시흥5동임시어르신쉼터,서울특별시 금천구 금하로 700 (시흥동),서울특별시 금천구 시흥동 909-15,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.907652,37.4514243,191828.7992485,539116.87701435
2026,1154571000,생활밀착민간시설,금융기관,새마을금고금천남부,서울특별시 금천구 금하로 724-1 (시흥동),서울특별시 금천구 시흥동 272-19,"월,화,수,목,금",09:00,16:00,False,False,False,False,126.9101357,37.4504235,192048.45785273,539005.58958133
2026,1154571000,공공시설,복지·문화·체육시설,공동체경제통합지원센터(1관),서울특별시 금천구 은행나무로 45 (시흥동),서울특별시 금천구 시흥동 909-34,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.9074665,37.4510333,191812.34308573,539073.49753033
2026,1154571000,공공시설,복지·문화·체육시설,금천마을활력소어울샘(2층어울샘홀),서울특별시 금천구 탑골로 22 (시흥동),서울특별시 금천구 시흥동 247-19,"화,수,목,금,토",10:00,19:00,True,True,False,False,126.9116314,37.4518201,192180.94859526,539160.46766959
2026,1154571000,공공시설,공공청사,시흥5동주민센터,서울특별시 금천구 금하로24길 6 (시흥동),서울특별시 금천구 시흥동 910-5,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.9084,37.4508,191894.91696647,539047.5237532
2026,1100000000,특정계층이용시설,특수근로자 쉼터,휴서울이동노동자가산쉼터,서울특별시 금천구 가산동 60-35,서울특별시 금천구 가산동 60-35,"월,화,수,목,금,토,일",08:00,02:00,True,True,False,False,126.8857,37.477183,189889.89538031,541977.87297114
2026,1154551000,생활밀착민간시설,종교시설,한빛교회,서울특별시 금천구 가산로7길 6 (가산동),서울특별시 금천구 가산동 152-37,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8925646,37.475733,190496.9020332,541816.22746273
2026,1154551000,공공시설,복지·문화·체육시설,대한적십자사금천봉사나눔터,서울특별시 금천구 가산디지털2로 169-44 (가산동),서울특별시 금천구 가산동 535-146,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8749505,37.48264,188939.88069847,542584.73591453
2026,1154551000,공공시설,복지·문화·체육시설,책이든거리작은도서관,,서울특별시 금천구 가산동 677,"화,수,목,금,토",10:00,19:00,True,True,False,False,126.887659,37.466717,190061.78801208,540816.07906525
2026,1154551000,생활밀착민간시설,금융기관,신한은행디지털중앙지점,서울특별시 금천구 가산디지털1로 186 (가산동),서울특별시 금천구 가산동 459-11,"월,화,수,목,금",09:00,16:00,False,False,False,False,126.8815541,37.48201,189523.85450539,542514.05903251
2026,1154551000,특정계층이용시설,기타,금천누리종합사회복지관,서울특별시 금천구 가산로 129,서울특별시 금천구 가산동 144-3,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8917582,37.4768451,190425.71452533,541939.73738974
2026,1154551000,공공시설,공공청사,가산동주민센터,서울특별시 금천구 가산동 가산로  129   (가산동),서울특별시 금천구 가산동 144-3,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.8917866,37.4769139,190428.23535916,541947.37038437
2026,1154561000,공공시설,복지·문화·체육시설,국민건강보험공단금천지사,서울특별시 금천구 시흥대로 415 (디디에스빌딩),서울특별시 금천구 독산동 288-3,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.897669,37.470812,190947.81363641,541269.55963568
2026,1154561000,공공시설,복지·문화·체육시설,금천뮤지컬센터,서울특별시 금천구 시흥대로115길 48 (독산동),서울특별시 금천구 독산동 300-21,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8938494,37.4689402,190609.69809743,541062.1890401
2026,1154561000,생활밀착민간시설,금융기관,새마을금고금천중앙,서울특별시 금천구 가산로 52 (독산동),서울특별시 금천구 독산동 151-13,"월,화,수,목,금",09:00,16:00,False,False,False,False,126.8971619,37.4717225,190903.06596979,541370.66174323
2026,1154561000,특정계층이용시설,기타,금천구장애인돌봄쉼터,서울특별시 금천구 두산로 70 (독산동),서울특별시 금천구 독산동 291-1,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8954909,37.4684548,190754.84885166,541008.15380198
2026,1154561000,공공시설,복지·문화·체육시설,복숭아마을수다방,서울특별시 금천구 시흥대로139길 28 (독산동),서울특별시 금천구 독산동 149-61,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.896518,37.472971,190846.2595942,541509.29085794
2026,1154561000,공공시설,복지·문화·체육시설,금하마을주민공동이용시설(1층공유부엌),서울특별시 금천구 금하로1다길 16 (독산동),서울특별시 금천구 독산동 1118-8,"월,화,수,목,금",09:00,18:00,True,False,True,False,126.8914194,37.4529858,190392.69420577,539291.7133995
2026,1154561000,공공시설,복지·문화·체육시설,금나래문화체육센터(1층북카페),서울특별시 금천구 시흥대로79길 32 (독산동),서울특별시 금천구 독산동 1148,"월,화,수,목,금,토",09:00,21:00,True,True,True,True,126.896411,37.458887,190835.0755715,539946.16820371
2026,1154561000,공공시설,복지·문화·체육시설,모두의마을공간커뮤니티센터(1층다목적홀),서울특별시 금천구 벚꽃로 14 (독산동),서울특별시 금천구 독산동 1151,"수,목,금,토,일",09:00,18:00,True,True,False,False,126.8944073,37.4572563,190657.59747885,539765.37966561
2026,1154561000,공공시설,공공청사,독산1동주민센터,서울특별시 금천구 독산동 시흥대로123길  11   (독산동),서울특별시 금천구 독산동 289-5,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.8970489,37.4702215,190892.88801931,541204.08187193
2026,1154561000,특정계층이용시설,기타,금천장애인종합복지관,서울특별시 금천구 시흥대로101길 17,서울특별시 금천구 독산동 1011-1,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8962768,37.4639875,190823.82567568,540512.26718854
2026,1154562000,공공시설,공공청사,독산2동주민센터마을카페(1층),서울특별시 금천구 독산로 179 (독산2동주민센터),서울특별시 금천구 독산동 1043-51,"토,일",09:00,18:00,False,True,False,True,126.90348,37.463144,191460.98193549,540417.97282477
2026,1154562000,생활밀착민간시설,금융기관,다원새마을금고,서울특별시 금천구 독산로 192 (독산동),서울특별시 금천구 독산동 378-395,"월,화,수,목,금",09:00,16:00,False,False,False,False,126.9032961,37.4641864,191444.83127298,540533.68172835
2026,1154562000,공공시설,복지·문화·체육시설,금천평생학습관독산,서울특별시 금천구 범안로 1240-7 (독산동),서울특별시 금천구 독산동 1035-13,"월,화,수,목,금,토",09:00,18:00,True,True,False,False,126.8997663,37.4660982,191132.78379961,540746.19201624
2026,1154562000,공공시설,복지·문화·체육시설,독산2동마을활력소(정감),서울특별시 금천구 시흥대로 342 (독산동),서울특별시 금천구 독산동 1054-8,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8981302,37.464312,190987.83108814,540548.10333993
2026,1154562000,공공시설,공공청사,독산2동주민센터,서울특별시 금천구 독산로 179,서울특별시 금천구 독산동 1043-51,"월,화,수,목,금",09:00,18:00,True,False,True,False,126.90349,37.4631486,191461.86714776,540418.48245568
