시설년도,위치코드,시설구분1,시설구분2,쉼터명칭,도로명주소,지번주소,기본운영_요일,기본운영_시작시간,기본운영_종료시간,피크시간_개방,주말_개방,연장운영,추가운영,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
2026,1154567000,특정계층이용시설,기타,금천구지체장애인쉼터,"서울특별시 금천구 시흥대로59길 13 (시흥동, 백운플러스타워)",서울특별시 금천구 시흥동 992-8,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9,37.4534,191151.96214902,539336.84351211
2026,1154567000,특정계층이용시설,기타,금천구시각장애인쉼터,"서울특별시 금천구 시흥대로77길 23 (시흥동, 시흥베르빌아파트)",서울특별시 금천구 시흥동 1015,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8984574,37.4581271,191016.0377372,539861.63259511
2026,1154567000,특정계층이용시설,기타,금천어울림복지센터(1층로비),서울특별시 금천구 시흥대로73길 30 (시흥동),서울특별시 금천구 시흥동 113-142,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8975636,37.4570167,190936.82492861,539738.47903532
2026,1154567000,특정계층이용시설,회원이용시설,대명경로당,서울특별시 금천구 독산로11길 4 (시흥동),서울특별시 금천구 시흥동 895-5,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9055948,37.452227,191646.86184891,539206.14600455
2026,1154567000,공공시설,공공청사,시흥1동주민센터,서울특별시 금천구 시흥동 시흥대로58길  36   (시흥동),서울특별시 금천구 시흥동 886-6,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.903237,37.4535702,191438.39260714,539355.4342975
2026,1154567000,생활밀착민간시설,종교시설,산돌북카페,서울특별시 금천구 시흥대로75길 16,서울특별시 금천구 시흥동 108-28,"화,수,목,금,토,일",09:00,17:00,True,True,False,False,126.898338,37.457452,191005.39298753,539786.71714524
2026,1154567000,공공시설,공공청사,금천구청(1층),서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,"월,화,수,목,금",07:00,18:00,True,False,True,True,126.895422,37.457039,190747.34716569,539741.16220743
2026,1154567000,특정계층이용시설,회원이용시설,새재미경로당,서울특별시 금천구 독산로39길 16,서울특별시 금천구 시흥동 855,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9042611,37.4588453,191529.60012873,539940.80531209
2026,1154567000,특정계층이용시설,기타,금천노인종합복지관,서울특별시 금천구 시흥대로51길 93-32,서울특별시 금천구 시흥동 558-1,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.8977809,37.450152,190955.22420729,538976.57112301
2026,1154568000,특정계층이용시설,회원이용시설,벽산아파트5단지경로당,서울특별시 금천구 금하로 816 (벽산5단지아파트 524동),서울특별시 금천구 시흥동 1013,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.916987,37.448158,192654.46607747,538753.59440888
2026,1154568000,공공시설,복지·문화·체육시설,공동체경제통합지원센터(2관),서울특별시 금천구 탑골로8길 23 (시흥동),서울특별시 금천구 시흥동 산 100-4,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.9148,37.4509,192461.2211272,539058.09107623
2026,1154568000,공공시설,복지·문화·체육시설,시흥2동마을활력소(늘솔나루),서울특별시 금천구 금하로 764 (시흥동),서울특별시 금천구 시흥동 267-15,"월,화,수,목,금",10:00,18:00,True,False,False,False,126.9141886,37.4496974,192407.00086095,538924.66824518
2026,1154568000,공공시설,복지·문화·체육시설,서울시립금천청소년센터(1층로비),서울특별시 금천구 금하로30길 54 (시흥동),서울특별시 금천구 시흥동 산 84-7,"월,화,수,목,금",06:00,22:00,True,False,True,True,126.915354,37.4484399,192509.99561995,538785.00993924
2026,1154568000,특정계층이용시설,기타,청담종합사회복지관,서울특별시 금천구 시흥동 금하로29길  36   (시흥동),서울특별시 금천구 시흥동 241-7,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9136438,37.4516789,192358.99592181,539144.63132496
2026,1154568000,공공시설,공공청사,시흥2동주민센터,서울특별시 금천구 금하로 764 (시흥동),서울특별시 금천구 시흥동 267-1,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.9148189,37.4495526,192462.75827333,538908.54685031
2026,1154567000,특정계층이용시설,회원이용시설,산장경로당,서울특별시 금천구 탑골로2길 59-9,서울특별시 금천구 시흥동 243-31,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.9138957,37.4508156,192381.19708504,539048.79658203
2026,1154569000,특정계층이용시설,회원이용시설,현대빌라경로당,서울특별시 금천구 시흥대로 53 (현대빌라 8동),서울특별시 금천구 시흥동 982,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.902123,37.440065,191338.26880574,537856.64692987
2026,1154569000,공공시설,복지·문화·체육시설,박미사랑마을회관,서울특별시 금천구 시흥대로18길 65-4,서울특별시 금천구 시흥동 957-10,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.907557,37.440486,191819.20246921,537902.88646885
2026,1154569000,생활밀착민간시설,금융기관,새마을금고금천남부시흥3동지점,서울특별시 금천구 시흥대로 78 (시흥동),서울특별시 금천구 시흥동 954-32,"월,화,수,목,금",09:00,16:00,False,False,False,False,126.9038057,37.4409324,191487.27946236,537952.76283101
2026,1154569000,공공시설,복지·문화·체육시설,동네방네마을이음센터(로비),서울특별시 금천구 시흥대로12길 10-5 (남부도로사업소 청사),서울특별시 금천구 시흥동 961-5,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.90431,37.438613,191531.64617284,537695.29660211
2026,1154569000,공공시설,복지·문화·체육시설,금천문화회관(1층로비),서울특별시 금천구 시흥대로38길 61 (금천문화회관),서울특별시 금천구 시흥동 937-2,"월,화,수,목,금",09:00,18:00,True,False,False,False,126.904365,37.446478,191537.39936256,538568.19651718
2026,1154567000,공공시설,공공청사,시흥3동주민센터,서울특별시 금천구 시흥대로18길 40 (시흥3동주민센터),서울특별시 금천구 시흥동 956-3,"월,화,수,목,금",09:00,18:00,True,False,True,True,126.905828,37.440264,191666.16894423,537878.39907217
